en	zh
ASIANA three six two five HOTEL four cross runway three six right	亚航 三六两五 HOTEL 四 穿越跑道 三六 右
er confirm SINGAPORE eighty two	确认 新加坡航空 八两
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
NAV	导航
one one eight decimal one	幺幺八点幺
CHINA EASTERN five	东航 五
JAPAN AIR eight two one confirm go around	日本航空 八两幺 确认绕飞
landing	着陆
<THIRTY>	<THIRTY>
er PUDONG apron AEROFLOT two zero nine request	浦东机坪 俄罗斯航空 两洞九 请求
HAINAN seven six zero six taxi via MIKE three hold short of DELTA	海南 拐六洞六 滑行通过 MIKE 三 等待 DELTA
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
twenty minutes	两洞 分钟
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
clear for take off	清晰起飞
<THIRTY>	<THIRTY>
zero one one	洞洞幺
check	检查
<FORTY>	<FORTY>
er one two one two one two one two one two one two one two one two one two knots hold short of DELTA	确认 幺两幺两幺两幺两幺两幺两幺两幺两 节等候 DELTA
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
apron VIETNAM five two three	机坪 越南航空 五两三
BAUHINIA two four one now contact apron one two one decimal nine seven five	BAUHINIA 两四幺 现在联系机坪 幺两幺点九拐五
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
THAI six six three runway three four left yes also unable to take off call YOU back	泰航 六六三 跑道 三四 左转 是的 也无法起飞 我们会给你回电
CATHAY three six five apron stand by er about three zero	机坪 国泰航空 三六五 待命 大约 三洞 分钟
<FOUR-HUNDRED>	<FOUR-HUNDRED>
land	着陆
VIETNAM five three one	越南航空 五三幺
NAV	导航
AIR SPRING eight five	春秋航空 八五
AIR JUNEYAO one one zero six surface wind is zero six zero degree one two meters per second QNH one eight runway three six right clear to land	吉祥航空 幺幺洞六 表面风速 六洞° 每秒 幺两 米 QNH 幺八 跑道 三六 右 清晰着陆
D H BOHAI seven eight one five	D H 渤海 拐八幺五
<ENGINE>	<ENGINE>
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
<FORTY>	<FORTY>
NAV	导航
one two one decimal two	幺两幺点两
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
er one zero nine	确认 幺洞九°
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
AIR MACAU one zero eight vacate runway	澳门航空 幺洞八 清空跑道
er confirm pushback and start up approved AIR SPRING six four five right facing south	确认推回和启动获批 春秋航空 六四五 右转面向南
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
check	检查
runway reduce	减少跑道
one eight contact approach	幺八 联系进近
land	着陆
SCOOTER one eight four contact ground	SCOOTER 幺八四 联系地面
CAPITAL JET five	首都航空 五
NAV	导航
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
via H two approach	通过 H 两 进近
NAV	导航
ASIANA three one nine taxi via H four hold short of runway three	亚航 三幺九 通过 H 四 等待跑道 三
check	检查
AUSTRIAN seven six contact apron one two one decimal nine seven five	奥地利航空 拐六 联系机坪 幺两幺点九拐五
HOTEL four clear to cross three six right BAUHINIA two three nine	HOTEL 四 清晰穿越跑道 三六 右 BAUHINIA 两三九
er BRAVO hold short of HOTEL two CHINA EASTERN five one four four	BRAVO 等待 HOTEL 两 东航 五幺四四
er ground CHINA EASTERN five six four three with YOU	地面 东航 五六四三 与你在一起
land	着陆
CHINA EASTERN five one six two contact tower one one eight decimal six five good day	东航 五幺六两 联系塔台 幺幺八点六五 日安
CHINA SOUTHERN good day	南方航空 日安
hold short DELTA AIR JUNEYAO one two zero nine	等待 DELTA 东航 幺两洞九
apron er tower JAPAN AIR two one er good morning due to to wind check	机坪 塔台 日本航空 两幺 早安 由于风检查
report tug ready AIR SPRING eight seven one five	报告 拖车准备 春秋航空 八拐幺五
one two six six five EVA seven seven one good day	幺两六点六五 EVA 拐拐幺 日安
runway three six clear for take off	跑道 三六 清晰起飞
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
<FOUR-HUNDRED>	<FOUR-HUNDRED>
per second runway three six clear for take off	每秒 跑道 三六 清晰起飞
CHINA EASTERN five one two three tug is ready	东航 五幺两三 拖车准备好了
yeah I just after the from A D C not do YOU have now	是的 我刚刚从 A D C 过来 你现在有吗
clear for take off runway three six CHINA EASTERN five	跑道 三六 清晰起飞 东航 五
AIR FRANCE one two five apron go ahead	法航 幺两五 机坪 请讲
follow the SID to hold point contact tower	根据 SID 到等待点 联系塔台
line up and wait runway three six left HAINAN seven five four three	排队等候跑道 三六 左 海南航空 拐五四三
AIR SPRING eight eight five six contact ground one two one decimal seven five good day	春秋航空 八八五六 联系地面 幺两幺点拐五 日安
seven two two four zero zero	拐两两四洞洞
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
NAV	导航
MIKE SIERRA ZULU SIERRA ZULU now HOTEL four cross runway three six right	MIKE SIERRA ZULU 现在 HOTEL 四 穿越跑道 三六 右
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
CHINA EASTERN five one four four HONGQIAO tower taxi via BRAVO hold short HOTEL two	东航 五幺四四 虹桥塔台 通过 BRAVO 等待 HOTEL 两
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
CHINA EASTERN five one one two tower HOTEL seven hold short runway three six left	东航 五幺幺两 塔台 HOTEL 拐 等待跑道 三六 左
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
AIR JUNEYAO one one zero six about one minute or proceeding aircraft airbus three two zero er make the approach due wind SHEAR on final approach with caution	吉祥航空 幺幺洞六 大约一分钟 或者正在接近的空客 三两洞 请小心风切变
zero H tower taxi via H seven hold short of runway three	零 H 塔台 通过 H 拐 等待跑道 三
NAV	导航
apron PHILIPPINE three three nine standing by for push and start	机坪 菲律宾航空 三三九 待命准备推回和启动
runway three six right clear to land eight one	跑道 三六 右 清晰着陆 日本航空 八幺
<ENGINE>	<ENGINE>
MIKE five DELTA hold short DELTA one six CHINA EASTERN five three five three	MIKE 五 DELTA 等待 DELTA 幺六 东航 五三五三
climb	爬升
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
THAI six six three	泰航 六六三
<FIVE>	<FIVE>
er ground confirm one two five	地面 确认 幺两五
final	最终接近
er stand by call YOU back	待命 我会给你回电
check	检查
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
land	着陆
NAV	导航
good evening CHINA EASTERN five one two four	晚上好 东航 五幺两四
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
<ENGINE>	<ENGINE>
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
land	着陆
AIR JUNEYAO one two zero nine roger standby	东航 幺两洞九 收到 待命
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
INDONESIA eight nine five apron go ahead	印尼航空 八九五 机坪 请讲
THAI six six three there is no pushback time er tower tower runway three five right is unable take off	泰航 六六三 没有推回时间 塔台 跑道 三五 右转 无法起飞
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
JAPAN AIR eight four one contact SHANGHAI approach one two six decimal six five	日本航空 八四幺 联系上海进近 幺两六点六五
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
clear for take off AIR JUNEYAO one two zero nine	吉祥航空 幺两洞九 清晰起飞
land	着陆
check	检查
ASIANA three six four apron can YOU expect take off er now YOU have A tower	亚航 三六四 机坪 你能期待起飞吗 现在你有塔台
DRAGON nine five five	龙 九五五
land	着陆
one one eight decimal six five good day CHINA EASTERN five one four	幺幺八点六五 日安 东航 五幺四
<ONE-HUNDRED>	<ONE-HUNDRED>
er if the tug ready we can go BAUHINIA two three seven	如果拖车准备好了 我们可以走 BAUHINIA 两三拐
tower good morning AIR SPRING er good afternoon AIR SPRING eight nine eight zero HOTEL four hold short runway	塔台 早安 春秋航空 下午好 春秋航空 八九八洞 HOTEL 四 等待跑道
NAV	导航
AIR JUNEYAO one nine zero ZULU approaching HOTEL six	吉祥航空 幺九洞 ZULU 接近 HOTEL 六
D H hold short of runway	D H 等待跑道
er apron good evening CHINA EASTERN five one two three stand two four zero ECHO we are ready	机坪 晚安 东航 五幺两三 停机位 两四洞 ECHO 我们准备好了
AIR JUNEYAO one eight eight one contact ground one two one decimal nine good day	东航 幺八八幺 联系地面 幺两幺点九 日安
NAV	导航
er say again the frequency EVA seven seven one	确认频率 EVA 拐拐幺
zero four approach runway three six right CHINA EASTERN five one	洞四 接近跑道 三六 右 东航 五幺
BAUHINIA two four one apron STAY with me about three zero minutes traffic	BAUHINIA 两四幺 机坪 待命 大约 三洞 分钟 交通
<FOUR-HUNDRED>	<FOUR-HUNDRED>
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
two one decimal six localizer	两幺 ILS
AIR MACAU one three seven cross runway three six right	澳门航空 幺三拐 穿越跑道 三六 右
AIR SPRING eight five	春秋航空 八五
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
CHINA SOUTHERN good day	南方航空 日安
CHINA EASTERN five one one push five one one one pushback and start up approved runway three six left	东航 五幺幺 推出 五幺幺幺 推回和启动获批 跑道三六左转
JAPAN eight one now surface wind zero six zero degree one zero meters per second approach with caution	日本航空 八幺 现在表面风速 六洞° 每秒 幺洞 米 请小心进近
check	检查
zero six	零六
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
NAV	导航
QINGDAO one two one decimal six seven five good day	青岛 幺两幺点六拐五 日安
CHINA EASTERN five one four four taxi via ZULU NORTH hold short	东航 五幺四四 通过 ZULU 北 等待
JUNEYAO one zero one two	吉祥航空 幺洞幺两
AIR SPRING eight eight five six HONGQIAO apron taxi via KILO two LIMA one zero LIMA one eight stand three three eight	春秋航空 八八五六 虹桥 机坪 滑行经过 KILO 两 LIMA 幺洞 LIMA 幺八 停机位 三三八
<ENGINE>	<ENGINE>
VIETJET five four two seven	越捷航空 五四两拐
BAUHINIA two three seven er very long time STAY with me	BAUHINIA 两三拐 等待很长时间 请与我保持联系
check	检查
NAV	导航
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
I can read back correct read back PDC read back correct then confirm nine hundred meters	我可以复述正确 复述 PDC 复述正确 然后确认 九洞洞 米
